,Bovine_Sheep_Pigmeat_Poultry,Cereals,Milk_Egg,Fish_x,stunting(percentage),overweight(percentage),Country,Code,Income group,Region,Continent,principal component 1,principal component 2,Continent_Cluster,Region_Cluster,Income group_Cluster
151,4.93,32.32,5.6899999999999995,0.14,17.5,3.3,Tajikistan,TJK,Low income,Europe & Central Asia,Asia,-0.9230762246405538,-0.48544826461939583,2,6,0
152,9.16,24.59,6.3100000000000005,8.38,10.5,8.2,Thailand,THA,Upper middle income,East Asia & Pacific,Asia,0.03895176613027565,0.7528836726560928,0,3,3
153,12.459999999999999,27.89,15.760000000000002,1.43,4.9,12.4,Republic of North Macedonia,MKD,Upper middle income,Europe & Central Asia,Europe,1.4987785155700724,-0.36889652340253876,5,1,1
154,5.779999999999999,27.82,1.5,1.72,50.9,1.4,Timor-Leste,TLS,Lower middle income,East Asia & Pacific,Asia,-2.7064191224328282,-0.20391903299275208,2,2,0
155,3.8899999999999997,30.05,0.85,3.48,27.6,2.0,Togo,TGO,Low income,Sub-Saharan Africa,Africa,-1.85553237476423,-0.006795871593403353,2,2,0
156,22.689999999999998,24.99,10.52,6.99,9.2,11.4,Trinidad and Tobago,TTO,High income,Latin America & Caribbean,North America,1.4492805357013758,0.695735686502716,0,3,3
157,10.33,50.41,12.04,3.87,10.1,14.2,Tunisia,TUN,Lower middle income,Middle East & North Africa,Africa,1.1252599536397183,-2.040532992035827,4,1,1
158,12.97,48.61,19.41,1.75,9.9,11.1,Turkey,TUR,Upper middle income,Europe & Central Asia,Asia,1.5276696115087083,-1.9560327427588853,4,1,1
159,21.82,46.37,15.080000000000002,1.1,11.5,5.9,Turkmenistan,TKM,Upper middle income,Europe & Central Asia,Asia,1.2191538153782187,-1.2785144691409283,4,1,1
160,4.13,14.44,3.4699999999999998,3.84,28.9,3.7,Uganda,UGA,Low income,Sub-Saharan Africa,Africa,-1.6132691026718238,1.0773896032362371,1,0,2
161,17.37,31.07,19.060000000000002,4.18,22.9,26.5,Ukraine,UKR,Lower middle income,Europe & Central Asia,Eurpoe,2.5051129672009678,-1.3270599421171871,5,1,1
164,3.6100000000000003,22.47,3.6,2.08,34.5,3.7,United Republic of Tanzania,TZA,Low income,Sub-Saharan Africa,Africa,-1.835691715652664,0.21848013849947936,1,2,0
165,37.93,23.58,26.04,5.06,3.5,9.4,United States of America,USA,High income,North America,North America,3.468632316305887,0.9598075599615298,5,5,3
166,24.0,26.97,24.25,2.02,10.7,7.2,Uruguay,URY,High income,Latin America & Caribbean,South America,2.067389929312244,0.1477129400002597,5,5,3
167,13.389999999999999,41.79,13.48,0.21,19.6,12.2,Uzbekistan,UZB,Lower middle income,Europe & Central Asia,Asia,0.8218622093341498,-1.6558426434216311,4,1,1
168,12.48,17.16,3.48,9.78,28.5,4.6,Vanuatu,VUT,Lower middle income,East Asia & Pacific,Australia,-1.0348168679529377,1.5676282939900135,1,0,2
169,23.67,25.93,11.36,3.02,13.4,6.4,Venezuela (Bolivarian Republic of),VEN,Upper middle income,Latin America & Caribbean,South America,0.9692790523744799,0.5140951052867424,0,3,3
170,17.46,32.68,2.82,8.55,24.6,5.3,Viet Nam,VNM,Lower middle income,East Asia & Pacific,Asia,-0.5234783166807369,0.40215643703444326,1,0,2
171,7.32,38.69,4.46,0.68,46.4,2.5,Yemen,YEM,Low income,Middle East & North Africa,Asia,-2.098506755251877,-1.1489137431904306,2,2,0
172,3.85,29.68,1.76,1.85,40.0,6.2,Zambia,ZMB,Lower middle income,Sub-Saharan Africa,Africa,-1.9351253051461956,-0.5347123135718701,2,2,0
173,6.32,31.53,3.2,0.87,27.1,5.6,Zimbabwe,ZWE,Low income,Sub-Saharan Africa,Africa,-1.211000637918831,-0.5366546897733981,2,6,0
