,dairy,eggs,meat_fish,nuts_pulses,grains_tubers,animal_source_foods,Primary_Religion,Population_2015,Travel_time_to_cities,Soil_suit_overall,Soil_suit_cereals,Soil_suit_pulses,Soil_suit_roots,ISO3C,Entity,Code,Year, (g/person/day),Travel_time_to_cities_group,Soil_suit_overall_group,dairy_group,eggs_group,meat_fish_group,nuts_pulses_group,grains_tubers_group
9431,0.5,0.3125,0.1875,0.0,1.0,1.0,1,36863.86,1.7754470000000002,6.832624000000001,6.983237,7.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,3,2,1,1,5
9432,0.25,0.0,0.33333333333333304,0.0,1.0,0.555555555555556,1,1154688.0,6.222497,7.137841000000001,7.0156339999999995,7.71639,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,2,1,5
9434,0.12755102040816302,0.0666666666666667,0.204761904761905,0.0416666666666667,0.9142857142857141,0.39047619047619103,1,17764.02,25.0252,7.770194,7.9618139999999995,7.14917,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,4
9437,0.166666666666667,0.19413919413919398,0.23076923076923103,0.1,0.7428571428571421,0.591575091575092,1,18215.03,12.72845,7.747667999999999,7.9209830000000006,7.14917,5.175939,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,3
9438,0.307539682539683,0.199248120300752,0.353383458646617,0.18775510204081602,0.956709956709957,0.815789473684212,1,1910983.0,0.0,7.749696000000001,7.9209830000000006,7.14917,5.175939,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,2,1,4
9440,0.0833333333333333,0.0,0.0769230769230769,0.0769230769230769,0.33333333333333304,0.153846153846154,3,35430.26,4.762699,6.110668,6.9579580000000005,6.290975,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,1,1,1,2
9441,0.222222222222222,0.1,0.3,0.4,0.666666666666667,0.6,1,5369969.0,0.2544467,5.197973,4.787416,4.511566999999999,5.148307,IND,India,IND,2013.0,60.25,1,3,1,1,2,2,3
9457,0.528846153846154,0.25,0.0576923076923076,0.134615384615385,0.9461538461538459,0.836538461538461,2,1335060.0,0.0,0.0,2.08338,2.0,2.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,3,2,1,1,4
9458,0.5,0.4375,0.0625,0.0625,0.75,1.0,2,47737.0,0.0,0.0,0.0,0.00018618919999999998,0.0,PAK,Pakistan,PAK,2013.0,65.49,1,1,3,2,1,1,4
9536,0.0909090909090909,0.0,0.0833333333333333,0.1,0.444444444444444,0.166666666666667,1,429175.2,19.35983,5.941497,6.0351349999999995,7.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,1,1,1,1,2
9541,0.25,0.214285714285714,0.1875,0.0930059523809524,1.10384615384616,0.6160714285714279,1,153145.6,0.5087548,6.842834,6.983212,7.71639,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,4,2,1,1,1,5
9667,0.0,0.111111111111111,0.33333333333333304,0.111111111111111,0.875,0.444444444444444,1,36621.45,7.718439999999999,5.899908,6.0351349999999995,6.01083,5.0586459999999995,BGD,Bangladesh,BGD,2013.0,55.84,1,3,1,1,2,1,4
9674,0.10952380952381,0.36785714285714294,0.25714285714285695,0.28571428571428603,1.03571428571429,0.717857142857143,1,25.3711,5.991868,7.755402,7.944292999999999,7.14917,5.117292,BGD,Bangladesh,BGD,2013.0,55.84,1,4,1,2,2,2,5
